created,text,retwc,hashtag,followers,friends
2017-09-07 16:50:13,b'Francesco Moschetta @GlobalFund at #GDRD2017 talks about improving access to HIV/AIDS prevention &amp; counselling #AIDS #Tuberculosis #Malaria',0,GDRD2017,1023,925
2017-09-07 16:48:52,b'RT @olympicchannel: From malaria to medal @annyonuora was fighting for her life. 10 months later she stood again on the Olympic podium. @ia\xe2\x80\xa6',12,None,30,327
2017-09-07 16:47:58,b'RT @DelthiaRicks: Malaria has made a comeback in Italy. A 4 y/o girl has died of the tropical mosquito-borne infection https://t.co/Rc5RyvI\xe2\x80\xa6',2,None,77,115
2017-09-07 16:47:40,b'New method for producing malaria treatment at large scales https://t.co/wcmETo0Gt3 @frontiersin',0,None,6727,0
2017-09-07 16:44:45,b'RT @olympicchannel: From malaria to medal @annyonuora was fighting for her life. 10 months later she stood again on the Olympic podium. @ia\xe2\x80\xa6',12,None,2000,4962
2017-09-07 16:44:15,"b'RT @malarianomoreuk: Clinical trials for the new ""game changing"" malaria drug to begin in 9 countries across Africa &amp; Asia #EndMalaria http\xe2\x80\xa6'",6,EndMalaria,832,525
2017-09-07 16:43:42,"b'RT @myhtopoeic: Possible reused needle at hospital?\n\nHow did malaria end up in Italy, again?\n\nI think we know the answer. https://t.co/2BUx\xe2\x80\xa6'",8,None,4244,4263
2017-09-07 16:43:33,"b""Italy opens manslaughter probe over child's malaria death - Medical Xpress https://t.co/1WRmOT1R88""",0,None,3038,3554
2017-09-07 16:42:44,"b'RT @theipaper: Charlie Webster on surviving malaria, living with PTSD and protecting young athletes\nhttps://t.co/1aC0fb0mIk https://t.co/GA\xe2\x80\xa6'",3,None,56,56
2017-09-07 16:42:00,"b""Going travelling in a few weeks - wifey is buying torches and malaria tablets - I'm deciding which books to take... https://t.co/5eabyg03BQ""",0,None,297,881
2017-09-07 16:41:43,"b'The deep voice of Joy Business News, George Wiafe is supporting the HFC Ride Out Malaria Tour.\n\n#rideoutmalaria\xe2\x80\xa6 https://t.co/eUWcQ6Unbd'",0,rideoutmalaria,204,131
2017-09-07 16:40:53,"b'RT @venusnyota: App to test malaria launched. No needles,no pain. https://t.co/umzsk4iGpg @subinukta @jomwalwega @mwelentuli @LillyUrio'",7,None,17538,994
2017-09-07 16:40:29,b'RT @AMike4761: Malaria Death of Four-Year-Old Girl in Italy Reignites Immigration Debate as Syrian Refugees bring disease- #fo2eu  https://\xe2\x80\xa6',189,fo2eu,127,185
2017-09-07 16:39:11,b'RT @SportswomenSky: On Sportswomen at 11.30 the incredible @annyonuora who won bronze at Rio 11 months after almost dying from Malaria. @ma\xe2\x80\xa6',3,None,2028,5001
2017-09-07 16:38:39,b'RT @olympicchannel: From malaria to medal @annyonuora was fighting for her life. 10 months later she stood again on the Olympic podium. @ia\xe2\x80\xa6',12,None,247,340
2017-09-07 16:37:26,b'RT @UNITAID: A form of #malaria parasite that has spread from howler monkeys to humans in Brazil has been identified https://t.co/bJ09kzhfc\xe2\x80\xa6',7,malaria,12,144
2017-09-07 16:36:36,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,145,252
